DEG	avg_log2FC
IGLC3	0.529608324
XRN1	0.529505994
IFNG-AS1	0.524186774
LRMP	0.523933108
RIPOR2	0.522538291
SAMD12	0.522535239
NCOA3	0.519602304
KLHL14	0.51579783
COL4A4	0.51396126
DIPK1A	0.511771598
MED13L	0.508393081
PDK1	0.507971262
GBF1	0.505045229
BLNK	0.504918886
FOS	0.504293409
SETBP1	0.503382906
FCHSD2	0.501715518
RABGAP1L	0.499727027
WARS	0.498183323
ANKIB1	0.497884238
MAML2	0.497565017
LINC02384	0.490858317
ELMO1	0.490446806
VOPP1	0.489162308
IRF4	0.485442738
SIPA1L3	0.481914296
OGT	0.4811072
UBA6-AS1	0.475016478
DOCK8	0.473289829
HIBCH	0.471785841
PCCA	0.471093869
TPD52	0.470683777
TOX	0.468430533
HM13	0.467592678
DENND1A	0.467382046
PTPRJ	0.46714046
UBR2	0.466205131
IGKC	0.463908391
ETV6	0.463384859
HDAC8	0.459576166
NLRC5	0.458797009
ATXN1	0.458583937
AC027097.2	0.454355269
MAP3K5	0.452489583
CARMIL1	0.452388646
TBC1D22A	0.451282796
CREB3L2	0.447875544
SIDT1	0.447075023
MBD5	0.446415272
BLK	0.446199471
IGLC2	0.445696074
PI4K2B	0.442008778
PDIA4	0.44172717
NLK	0.440587408
DGLUCY	0.43965752
LIMD1	0.439003804
C12orf74	0.436881811
RHEX	0.435805274
GRAP2	0.434619243
LINC01572	0.433559249
TRIO	0.433403726
IFIH1	0.43171467
PLXNC1	0.431564419
APBB1IP	0.431364614
SAMHD1	0.430006695
TNFAIP8	0.429530799
EML6	0.427983887
CPEB4	0.426851801
IQCB1	0.426188903
CELF2	0.42535297
R3HDM1	0.425209353
ITGB1	0.423850159
TRIM22	0.423121312
DIP2B	0.420241245
SYNE1	0.419407676
GALNT10	0.419338075
EXOC4	0.41891714
PARP14	0.417780362
PPP1R21	0.417026849
XIST	0.416928858
KDM2A	0.415814637
ENTPD1	0.414508946
ZBTB38	0.413047619
ARHGAP17	0.412810504
IFNAR2	0.412710334
PIK3R5	0.412681514
S100A9	0.412444115
MT-CYB	0.41135638
RRBP1	0.40806205
LCORL	0.407361197
EIF4G3	0.407059359
SLC39A11	0.406283184
UBE2H	0.404840869
UBR5	0.404461585
LYZ	0.403349795
PACS1	0.399066534
ZCCHC2	0.395746403
DAAM1	0.392852192
CPEB3	0.392437851
RAPGEF2	0.38992088
STK39	0.38894638
C22orf34	0.388384478
HERC4	0.386782555
BCAS3	0.38537716
ST6GAL1	0.383574506
ABHD18	0.382774915
SEC61A1	0.382063749
TBCK	0.381494907
FLI1	0.380679859
USP32	0.380468247
STAT2	0.379887116
OSBPL10	0.379562741
ERAP2	0.379357518
TBC1D9	0.377849073
PICALM	0.377240345
MRTFA	0.377199515
MARK3	0.375068579
CBR4	0.374787514
ARL15	0.373346695
N4BP1	0.373129853
EDEM3	0.372964578
FBXO11	0.371709925
MFN1	0.371702496
USO1	0.371569341
SSR3	0.370839293
ADAM17	0.370578648
BCL2	0.370378434
ABI1	0.370260771
KIF13B	0.369918401
ATXN7L1	0.369899552
PRKY	0.369786702
C11orf80	0.368545034
HDAC9	0.368439339
CDK17	0.367468075
ACYP2	0.366618082
SEC11C	0.365301903
NEDD9	0.365241337
SLC12A6	0.36481454
VTI1A	0.362938837
SPG11	0.361807754
TRANK1	0.360990584
RUFY3	0.360974281
UTRN	0.360139842
MAP2K5	0.359993585
GALK2	0.359457678
AL592429.2	0.359201215
DLEU2	0.359158512
SIL1	0.35822199
UBE2K	0.35509115
CBFA2T2	0.35498229
ADAM10	0.354708497
FAM117B	0.353950522
GNG7	0.35380424
AL162253.2	0.3537289
SUCLG2	0.352814233
XKR6	0.351488784
TNFSF10	0.351357028
TRIM25	0.351018436
FAF1	0.350840748
OAS1	0.350388305
LINC02100	0.349696854
RNF149	0.349573373
SMCHD1	0.349290712
SEL1L	0.348821513
ITCH	0.348502347
TCF4	0.348271932
GANC	0.347700953
FGL2	0.347163667
POU2AF1	0.346033174
VWA8	0.34564142
TMEM156	0.345250151
PDSS2	0.344949852
RAB31	0.344782588
CARD11	0.344700712
DLG1	0.344330485
ZNF609	0.344222974
SPTLC2	0.343883543
PPP3CC	0.343631855
KYNU	0.343508985
PTK2B	0.343232473
AKAP13	0.342605603
STK38	0.341820458
USP48	0.3418204
AC244131.2	0.341363768
SETD5	0.341164265
CERS6	0.341030106
MBNL1	0.340753391
SRBD1	0.34052034
TTC17	0.340197343
1-Mar	0.338197215
SNX25	0.3373184
CCDC88A	0.336660019
CAMKMT	0.336472854
SCML4	0.336418932
MBNL2	0.335111557
KAT2B	0.334744919
AC078883.1	0.334353263
IKZF1	0.334274104
ZDHHC21	0.334150925
LRRK1	0.33338713
ILRUN	0.33298999
PDE7A	0.332028286
CFLAR	0.331987249
MT-CO2	0.331940027
ATP8A1	0.331635643
RAP1A	0.331569393
SLC10A7	0.330831073
OSBPL3	0.330708033
UVRAG	0.33049235
ST8SIA4	0.32941162
CELF1	0.328095199
MTDH	0.328017338
KIAA1109	0.327612399
UBE2E1	0.327555675
QKI	0.326908385
ARMH3	0.326550147
ROCK2	0.326043281
ITPR2	0.324844561
CLASP1	0.324070678
NUMB	0.324025911
RHOQ	0.322236701
TMCC1	0.32158968
IKZF3	0.321182236
STRN3	0.320582001
EDEM1	0.320460928
SEC31A	0.319817162
LRCH1	0.319478299
XRCC4	0.318830548
ANKS1A	0.318677374
SMYD3	0.318497216
IBTK	0.318421111
AC008691.1	0.318265467
NIBAN1	0.317941546
FOXN3	0.31732096
PHF21A	0.316545179
PPP2R5E	0.316408135
FAM214A	0.316264087
RBM6	0.316065746
SEPTIN6	0.315411474
SRGN	0.313633216
SEC24A	0.313287468
IDE	0.313046046
BICD1	0.312984116
PRKCB	0.31298141
PIK3C2A	0.312553266
FOXN2	0.312047886
AAK1	0.311668181
SFMBT2	0.311600464
MT-ND5	0.311387453
KLF12	0.311128664
FKBP5	0.310974515
ZRANB2	0.310910594
SMG7	0.31084681
STT3B	0.31060688
VPS13B	0.308830234
RNF19A	0.308725197
RASSF3	0.307276088
CASC4	0.307174253
DDX58	0.307139205
EYA3	0.307026064
NARS2	0.306824847
ARHGEF18	0.305954886
ELP4	0.305259508
GRB2	0.303972196
ZMYND8	0.303703235
RAD51B	0.303286031
SPPL3	0.302783836
USP25	0.302550544
OXR1	0.302503654
MCOLN2	0.302389372
PAPSS1	0.302058497
ANTXR2	0.301523178
AGO3	0.301169836
ECPAS	0.299961375
SCFD1	0.299904509
TAOK3	0.299815714
NIPAL3	0.299470792
MON2	0.298967436
FAM126A	0.298935026
MTAP	0.298749619
TMEM260	0.298033532
CDK13	0.297856415
SYK	0.297587815
NSMCE2	0.296913286
VCAN	0.296574643
SP100	0.29642549
PRH1	0.296394267
DOCK10	0.296346305
PIP4K2A	0.296173223
CLTC	0.295903501
MCL1	0.295425472
MDFIC	0.295347846
MNDA	0.294687068
AUTS2	0.294677466
OSBPL9	0.294526431
HMBOX1	0.294346054
PIP5K1B	0.29411565
GLG1	0.294056713
SMC4	0.293827639
VMP1	0.29369976
SNX29	0.293559668
NFATC3	0.293109228
KLHDC10	0.292963825
RAP1GAP2	0.292759245
PRORP	0.292714802
CEP192	0.292695849
ZNFX1	0.292671595
LARP4B	0.29254575
LRBA	0.292325052
MT-ND4	0.292251835
SEC24B	0.292148608
MT-CO3	0.291643077
BIRC6	0.291592986
ANKRD17	0.28968499
SSBP3	0.289316566
ASH1L	0.288809007
ERGIC1	0.288785513
SPOP	0.288562523
SLC25A13	0.288021683
NT5C3A	0.287900273
ZBTB20	0.287710991
SPIDR	0.287615857
CAMK1D	0.287578897
MAP2K1	0.287434259
TRAM1	0.287078614
PARP12	0.28664172
ZEB2	0.286431519
RPS6KA5	0.285874656
MCU	0.285755514
MAPKAP1	0.285212932
PARM1	0.284967094
RELCH	0.284774481
AHNAK	0.284332815
MAN1A2	0.283723278
TCF12	0.283513017
NFAT5	0.283452527
JADE3	0.282980937
NCOR1	0.282701635
INPP5D	0.282381919
TAF15	0.282345594
GRK3	0.281540772
CEACAM21	0.28061206
SAT1	0.280413066
DNM2	0.280158049
RPS6KC1	0.27920156
RSU1	0.279174697
POU2F2	0.278670389
CDK6	0.278520715
ANXA4	0.277927508
BCL11A	0.277285302
FARS2	0.277014444
ADAR	0.274881161
MDM2	0.274457753
DDX17	0.274382288
ADAM19	0.273974612
STAP1	0.273801198
GLS	0.273292698
ATE1	0.271981759
MLLT10	0.271924033
PIBF1	0.271431158
ARID3A	0.271117055
CDR2	0.27094386
CLINT1	0.270704648
PRKRIP1	0.270379394
STX8	0.270378029
RNASEH2B	0.270146383
ZMYM4	0.269751775
ATXN10	0.269593465
GPHN	0.269571911
FTX	0.269543857
MTSS1	0.268231522
PHIP	0.268081546
SSH2	0.267975633
RAPGEF1	0.267189507
MYO9B	0.266722997
STAG1	0.2664467
DNAJC3	0.266362681
RAF1	0.266339876
IFI16	0.266333354
BPTF	0.266246017
ARID3B	0.265894435
SEC14L1	0.265037883
SDCCAG8	0.264911797
GPCPD1	0.264793577
CBFB	0.264683615
SGMS1	0.264477365
VPS53	0.264423829
HDLBP	0.264295055
RHOH	0.264040329
ADGRE5	0.263583719
NCOA2	0.263574922
TBL1XR1	0.263329191
ATM	0.263311898
RABGEF1	0.262828694
AC021678.2	0.262648602
ACAP2	0.261907332
GTF2F2	0.26175391
VAV2	0.261423766
RIC1	0.261242507
TNRC6B	0.259975115
TTC39C	0.259758199
MPHOSPH9	0.259566748
LILRB1	0.259546259
XPO7	0.259302821
RFX7	0.259140108
POLA1	0.259130205
RAB10	0.259123554
COL4A3	0.258964824
ANKFY1	0.258794921
TRMT11	0.258536089
ATRX	0.258475945
UBE3C	0.258429386
LIMS1	0.25829105
NSD2	0.257919038
ZNF207	0.257851818
PARP4	0.257559539
MT-ATP6	0.257259737
EXOC6	0.256766477
CSNK1G1	0.256348543
PDS5A	0.256192397
SP140	0.256191616
CLIC4	0.256059973
ZNF652	0.255899318
TAF4B	0.255892545
CDC42SE2	0.255680558
PRKD2	0.255621201
MINDY3	0.255081998
PDS5B	0.254953604
ZSWIM6	0.25442985
SKAP2	0.254295339
SPCS3	0.254175943
PTPN1	0.254170624
ZMYM2	0.253734306
RAB6A	0.253694703
MLLT3	0.253529973
SEC63	0.253217036
COX10-AS1	0.252849172
MSI2	0.251823702
PIK3AP1	0.251810675
SLX4IP	0.251346758
RAP1GDS1	0.251094816
ME2	0.250447837
ZZEF1	0.250275923
THADA	0.250106265
GABARAP	-0.250189591
IK	-0.250411725
PPP4C	-0.250723731
PLEKHF2	-0.251278737
ZBTB10	-0.251430355
GLIPR1	-0.252225309
LINC01215	-0.252786424
PTPRK	-0.252865005
NR3C2	-0.254553608
VAMP8	-0.254889529
NSA2	-0.255284094
EIF3G	-0.256272917
APPL2	-0.257180653
PRDX1	-0.257442228
ALOX5AP	-0.25769813
AC010894.3	-0.257742943
SNRPF	-0.258134926
AMD1	-0.258517435
RSL24D1	-0.259332724
NEDD8	-0.260809059
PET100	-0.261889574
DDX24	-0.261948649
ARHGEF1	-0.261977258
RPA3	-0.26243612
COX6B1	-0.263020324
SNHG5	-0.263020732
SNRPB2	-0.263233068
MIF	-0.264608818
SNRPN	-0.265457675
CEBPZ	-0.265465312
UXT	-0.265640138
CDKN2D	-0.265931717
CDC42SE1	-0.266235921
HCST	-0.266546293
EID1	-0.266855474
PSMA2	-0.267529891
NAP1L1	-0.268975223
ATP6V0B	-0.269870413
AL354733.3	-0.269895489
PSMB8	-0.271101262
ATP8B1	-0.27158289
HSP90AA1	-0.275202392
HMGB1	-0.275255844
ABHD15-AS1	-0.276572587
ICA1L	-0.277628275
S100A6	-0.277880956
SERBP1	-0.278195836
P2RY10	-0.281316811
TSPO	-0.281454424
AC068724.3	-0.281668306
INPP5A	-0.282142928
WDR83OS	-0.282731474
RBIS	-0.283345856
SYPL1	-0.283476629
SELL	-0.28367511
DEGS1	-0.283967892
CD40	-0.283987791
SNHG25	-0.28440231
COX5B	-0.285164019
RPL22L1	-0.285222884
EIF3L	-0.286220895
JTB	-0.286360942
ABCG1	-0.287168716
AC008937.2	-0.28885754
SARAF	-0.289150878
RNASET2	-0.289204777
SNHG29	-0.290061071
NDUFA13	-0.290639688
TRIR	-0.292058897
PAQR3	-0.293977343
TOMM20	-0.294443041
SELENOH	-0.295283722
MYC	-0.295625408
HHEX	-0.29811884
PPP1CA	-0.298693591
ARL6IP5	-0.299075322
SKP1	-0.299585788
GPSM3	-0.299688828
ZFP36L2	-0.300015841
PSMB1	-0.300367875
LAPTM4A	-0.301857161
SLC25A3	-0.302855759
BZW1	-0.303511576
SKIL	-0.304314801
TSTD1	-0.304385229
PCED1B-AS1	-0.304593245
PIK3IP1	-0.305016592
PLPP5	-0.305678675
COX7A2	-0.306301162
PABPC1	-0.307272216
LSP1	-0.307638928
HNRNPH3	-0.307819178
ATP5IF1	-0.308699271
CUTA	-0.309287478
CNBP	-0.309679575
C4orf3	-0.310082902
TRAPPC5	-0.311124983
CD72	-0.311347352
SOD1	-0.313450485
PLP2	-0.313657351
PPDPF	-0.314702155
TLE5	-0.314983826
NUCKS1	-0.316038317
EIF3H	-0.316106059
CALHM6	-0.317452618
DDX21	-0.318441345
IL2RG	-0.318687768
PARK7	-0.31906575
CALM1	-0.319752901
PGK1	-0.322705865
DBI	-0.323031024
ZFP36L1	-0.323053246
SNRPD2	-0.32356927
AL157938.2	-0.324925548
SNX9	-0.326146407
HLA-F	-0.327040058
HNRNPK	-0.327396636
HSPE1	-0.327553175
STK17A	-0.328224687
EVI2B	-0.328925812
NCL	-0.330658206
ST6GALNAC3	-0.331215742
SPINT2	-0.331409572
FCGR2B	-0.332695366
RBM38	-0.33305718
CD69	-0.33466627
EDF1	-0.335048768
COX8A	-0.335313414
PNRC1	-0.336370419
SMAP2	-0.338095789
DAD1	-0.339562681
AC009554.1	-0.341151848
SUMO2	-0.343055137
DDX27	-0.343126642
TAF7	-0.344493524
GPR183	-0.345386419
EEF2	-0.345611539
CIB1	-0.3461865
NFKBIA	-0.347154641
SYNGR2	-0.353191811
SLC24A1	-0.353239047
HNRNPA2B1	-0.353927935
APRT	-0.354636476
CPB2-AS1	-0.354996926
TAGAP	-0.355249289
AC009313.1	-0.355809985
MKNK2	-0.356511919
IL32	-0.357089626
SYF2	-0.357299332
RHOB	-0.359521112
HNRNPA0	-0.360615846
CHCHD2	-0.361858452
HLA-E	-0.362465273
ATP5F1E	-0.363732183
KRT10	-0.363962116
RTRAF	-0.367194464
GABARAPL2	-0.367285129
FCRLA	-0.368841337
CYB561A3	-0.369166832
NDUFA4	-0.369210149
TNFRSF13C	-0.369748262
AC104365.1	-0.370186208
SET	-0.372985517
HIF1A-AS3	-0.374730771
COX6A1	-0.376459059
CEMIP2	-0.379962145
SYN3	-0.380092784
FXYD5	-0.380644861
AC079921.1	-0.381224502
SRSF3	-0.381766979
AC120193.1	-0.384863198
AC087854.1	-0.385848663
EZR	-0.386023791
NDUFA1	-0.386866158
SON	-0.39083747
TMLHE-AS1	-0.392313621
ATP5MG	-0.393063101
GNLY	-0.393104057
UCP2	-0.393545598
MYL6	-0.396907311
GMFG	-0.397194085
RBM3	-0.397327305
C12orf57	-0.398243441
HMGN2	-0.398603163
FCMR	-0.404905161
ICAM3	-0.405741674
UBL5	-0.409656505
SAP18	-0.411174755
EIF3D	-0.411531209
IFITM2	-0.412756666
LAMTOR5	-0.413870261
RBM8A	-0.415455686
AC068282.1	-0.415995369
SERF2	-0.416068971
IRF8	-0.419118633
EIF4A2	-0.419757677
EIF5A	-0.421828283
USP3-AS1	-0.422544682
LAPTM5	-0.425538055
POLD4	-0.429550963
ACSM3	-0.432312218
SLC25A5	-0.43258553
ZFAS1	-0.433007467
RAC2	-0.433871902
UBXN1	-0.434646677
SNRPB	-0.434847881
AP000787.1	-0.435981765
HSPA8	-0.437668348
ACTB	-0.438920926
HIST1H4C	-0.439267654
EIF1B	-0.442732755
CD48	-0.44807403
LINC00926	-0.455101353
CHCHD10	-0.455843315
FILIP1L	-0.456255391
RAN	-0.457787359
ITM2B	-0.458442984
CRIP1	-0.459390587
PSME1	-0.463805954
LSM7	-0.468328627
ERP29	-0.472534271
UQCRB	-0.474449243
NDUFB9	-0.474742702
IER2	-0.474959327
EMP3	-0.479068258
TRBC2	-0.479579603
SNHG8	-0.480826924
LINC00513	-0.481676059
TCOF1	-0.489629128
SNHG32	-0.493462199
HNRNPDL	-0.494375153
RPL36AL	-0.495572973
RPS4Y1	-0.495576026
RNASEK	-0.496157695
NCF1	-0.496343913
COMMD6	-0.496993533
APLP2	-0.49923539
CPED1	-0.500533403
SNHG7	-0.504006592
NKG7	-0.504548121
EIF3F	-0.505113652
GAS5	-0.512592492
TMA7	-0.517297749
COX6C	-0.518767808
JUND	-0.520381684
BTG2	-0.520861424
P2RX5	-0.526135
SNHG6	-0.527242859
EEF1D	-0.528500435
CIRBP	-0.528558726
EIF3K	-0.529386883
FCER2	-0.533412062
ATP5MC2	-0.534844781
ATP6V1G1	-0.540241942
AP001011.1	-0.541587008
CORO1A	-0.542741646
MYL12B	-0.542898734
ARHGDIB	-0.547262249
HLA-DQA2	-0.550424917
TRMT112	-0.552280159
H3F3B	-0.555956248
CALM2	-0.558079206
H3F3A	-0.562261511
LIX1	-0.564307778
PDE3B	-0.569862457
HLA-DOB	-0.572801631
HLA-A	-0.573927798
TMSB4X	-0.578563676
HLA-DMB	-0.586216156
MEF2C-AS2	-0.587083491
HINT1	-0.588011727
MYCBP2-AS1	-0.588295041
DDX5	-0.58930521
H1FX	-0.590874688
OAZ1	-0.594307892
HLA-B	-0.596314695
UBA52	-0.620994349
ARPC3	-0.626422867
CFL1	-0.634554258
RAB11A	-0.640346569
LIMD2	-0.640579875
RPLP0	-0.640672234
CLIC1	-0.642581353
LINC01619	-0.649688366
PFDN5	-0.657078023
BTF3	-0.663375985
TPT1	-0.669705105
ANGPTL1	-0.676786041
COX7C	-0.682015311
HLA-DQA1	-0.682392704
COX4I1	-0.682461484
NPM1	-0.684728191
CD81	-0.684867978
TSC22D3	-0.685237451
CYBA	-0.687019743
ANKUB1	-0.689072103
RPL4	-0.693114326
HSP90AB1	-0.697819389
RPS19	-0.708729582
PLCG2	-0.710699919
UBC	-0.715173087
SLC25A6	-0.716216213
IGHM	-0.731816122
UBB	-0.734278133
SRSF5	-0.740597996
TMSB10	-0.74257808
NACA	-0.743656385
BTG1	-0.754931654
RPS24	-0.758371258
RPL24	-0.758600682
EIF1	-0.763819839
RPL35	-0.767774035
PPIA	-0.768545762
SRP14	-0.769301591
RPL22	-0.771108749
MYL12A	-0.772479009
JUN	-0.77552416
RPL6	-0.778992662
VPREB3	-0.780832928
PTMA	-0.786493923
JUNB	-0.794102643
RACK1	-0.794836141
RPL13	-0.813140115
B2M	-0.823457824
RPS9	-0.837070247
RPS8	-0.845005398
RPL39	-0.84553413
RPL12	-0.845806137
PFN1	-0.846274152
RPL29	-0.850572924
RPL26	-0.853482179
NOP53	-0.863568005
HLA-DMA	-0.871659921
RPS15A	-0.878123097
RPL28	-0.879628362
TOMM7	-0.883766012
RPS15	-0.893122086
LTB	-0.913115408
RPS13	-0.913176858
RPL32	-0.914119079
RPS14	-0.921175865
HNRNPA1	-0.921264948
RPL7	-0.923312367
EEF1B2	-0.924431962
RPL9	-0.927964117
RPL13A	-0.93799835
EEF1G	-0.940209358
RPL36	-0.942284648
RPL8	-0.950344222
RPL17	-0.951574779
CD79B	-0.955946434
RPL21	-0.960600008
RPS6	-0.961438883
RPLP1	-0.963439122
RPS20	-0.969634848
RPS12	-0.969792806
TXNIP	-0.970348261
RPL23	-0.973955213
RPS4X	-0.975250029
RPS26	-0.97815368
RPL27	-0.980257741
RPL18A	-0.983935901
RPS7	-0.987649333
CD37	-0.997851157
RPL10A	-1.00431495
RPL36A	-1.011689861
RPL7A	-1.014738475
RPL38	-1.016722693
RPSA	-1.021202304
RPLP2	-1.026342859
KLF2	-1.031171687
RPS16	-1.031839207
TCL1A	-1.034891861
HLA-DQB1	-1.039315532
RPS25	-1.039445998
AC079793.1	-1.046720951
RPS3A	-1.048851352
RPS18	-1.05007217
RPL35A	-1.051171259
RPL3	-1.051259209
RPS3	-1.055760697
RPL14	-1.056087818
RPL37A	-1.06158333
HLA-C	-1.077063023
RPS2	-1.077950448
EEF1A1	-1.079025696
RPS10	-1.082415222
RPL31	-1.088808554
IGHD	-1.088851579
AP002075.1	-1.09038932
RPL19	-1.102726679
RPL27A	-1.110601426
RPL37	-1.113573993
RPL23A	-1.125506449
RPL5	-1.132592973
HLA-DRB5	-1.132695676
RPL34	-1.133324209
RPL15	-1.144348938
RPS27A	-1.144440175
RPL18	-1.149696846
RPS17	-1.15044745
RPS5	-1.15113158
FAU	-1.157275645
RPS21	-1.157663439
CD52	-1.16493472
RPL11	-1.16813527
CD74	-1.182290828
RPL41	-1.182458768
CXCR4	-1.188364533
RPS11	-1.190985766
HLA-DPB1	-1.194725499
HLA-DPA1	-1.195019402
RPS23	-1.21060332
RPL10	-1.237718581
RPS29	-1.249670719
RPS28	-1.266990486
RPL30	-1.278313019
HLA-DRB1	-1.320703675
RPS27	-1.33253181
HLA-DRA	-1.355647081
CD79A	-1.489370747
AC105402.3	-2.998397479
