"","seqnames","idx","start","end","Log2FC","FDR","MeanDiff"
"175662","chr16",778,1408100,1408600,-1.42146376843828,2.25565109382739e-10,-0.094188376753507
"123918","chr12",18732,108633656,108634156,-1.0497530351971,3.12670872413633e-10,-0.122244488977956
"109835","chr12",4649,22626411,22626911,-3.08746284125034,3.66805337942258e-10,-0.030060120240481
"208653","chr17",15914,60724545,60725045,-3.08746284125034,3.66805337942258e-10,-0.030060120240481
"221250","chr18",4949,45104025,45104525,-3.08746284125034,3.66805337942258e-10,-0.030060120240481
"222823","chr18",6522,55465312,55465812,-4.08746284125034,3.66805337942258e-10,-0.032064128256513
"259903","chr2",14103,64327859,64328359,-3.08746284125034,3.66805337942258e-10,-0.030060120240481
"310008","chr21",4020,42220101,42220601,-1.9668331360648,3.66805337942258e-10,-0.0641282565130261
"435958","chr6",28030,157885663,157886163,-4.08746284125034,3.66805337942258e-10,-0.032064128256513
"260080","chr2",14280,64766692,64767192,-2.8073549220576,1.07169117228882e-09,-0.0360721442885772
"463418","chr7",24983,151249046,151249546,-2.8073549220576,1.07169117228882e-09,-0.0360721442885772
"288390","chr2",42590,226799684,226800184,-2,1.09582018827283e-09,-0.0601202404809619
"459629","chr7",21194,131107752,131108252,-1.33120590847537,1.09582018827283e-09,-0.094188376753507
"86548","chr11",6409,35077951,35078451,-1.93288580414146,1.34328626470154e-09,-0.062124248496994
"243373","chr19",17187,50511056,50511556,-0.955605880641547,1.34328626470154e-09,-0.124248496993988
"187823","chr16",12939,70800966,70801466,-1.18160680648995,1.36551722649002e-09,-0.104208416833667
"192078","chr16",17194,89031919,89032419,-1.77760757866355,1.49902032512456e-09,-0.0681362725450902
"422558","chr6",14630,69881789,69882289,-1.82312223791592,1.49902032512456e-09,-0.0661322645290581
"437651","chr6",29723,166627220,166627720,-0.807354922057604,1.49902032512456e-09,-0.138276553106212
"250434","chr2",4634,23940220,23940720,-1.39485961734121,1.61175219131884e-09,-0.0881763527054108
"288924","chr2",43124,230209358,230209858,-2.32192809488736,1.61175219131884e-09,-0.0480961923847695
"345122","chr3",23307,133448355,133448855,-1.4594316186373,1.61175219131884e-09,-0.0841683366733467
"514101","chrX",5386,71068319,71068819,-1.27008916336774,1.73021223025893e-09,-0.0961923847695391
"336747","chr3",14932,71421840,71422340,-1.61143471208235,2.74848138580849e-09,-0.0741482965931864
"498115","chr9",10578,96449792,96450292,-1,2.92262662225345e-09,-0.11623246492986
"68176","chr10",11775,72297121,72297621,-1.08746284125034,3.11741112992615e-09,-0.108216432865731
"311020","chr21",5032,45109693,45110193,-1.64045761331286,3.17925613201517e-09,-0.0721442885771543
"50557","chr1",50557,224145121,224145621,-3,3.44708769313003e-09,-0.0280561122244489
"74146","chr10",17745,102006956,102007456,-3,3.44708769313003e-09,-0.0280561122244489
"209352","chr17",16613,63932784,63933284,-3,3.44708769313003e-09,-0.0280561122244489
"220404","chr18",4103,35511480,35511980,-3,3.44708769313003e-09,-0.0280561122244489
"304241","chr20",11324,58306683,58307183,-1.38702312310925,5.60617840114481e-09,-0.0841683366733467
"6105","chr1",6105,16913763,16914263,-0.84005908713031,5.86079854962097e-09,-0.128256513026052
"141362","chr13",11354,109786422,109786922,-1.25938662881865,5.86079854962097e-09,-0.0921843687374749
"195217","chr17",2478,7014416,7014916,-0.87800947562139,5.86079854962097e-09,-0.124248496993988
"344262","chr3",22447,129001983,129002483,-2.73696559416621,5.86079854962097e-09,-0.0340681362725451
"422531","chr6",14603,69796762,69797262,-0.94251450533924,5.86079854962097e-09,-0.118236472945892
"492078","chr9",4541,35110848,35111348,-2.73696559416621,5.86079854962097e-09,-0.0340681362725451
"511585","chrX",2870,40104790,40105290,-2.73696559416621,5.86079854962097e-09,-0.0340681362725451
"204853","chr17",12114,45295899,45296399,-2.08746284125034,6.0847367123115e-09,-0.0521042084168337
"485619","chr8",20616,140464691,140465191,-0.894646999853771,6.15582576115657e-09,-0.122244488977956
"262526","chr2",16726,74185833,74186333,-1.40053792958373,6.74259392067815e-09,-0.0821643286573146
"282559","chr2",36759,196242054,196242554,-1.40053792958373,6.74259392067815e-09,-0.0821643286573146
"457067","chr7",18632,112790166,112790666,-1.47130571892559,6.74259392067815e-09,-0.0781563126252505
"161147","chr15",1833,38650802,38651302,-2,8.68057655945131e-09,-0.0541082164328657
"341308","chr3",19493,114214081,114214581,-1.3536369546147,8.68057655945131e-09,-0.0841683366733467
"56370","chr1",56370,248858756,248859256,-0.974909019037169,1.05870602921996e-08,-0.112224448897796
"468972","chr8",3969,25458382,25458882,-0.767339243209725,1.1169979173759e-08,-0.132264529058116
"46095","chr1",46095,204398490,204398990,-2.52356195605701,1.13186403509591e-08,-0.0380761523046092
"272432","chr2",26632,134118224,134118724,-2.52356195605701,1.13186403509591e-08,-0.0380761523046092
"321479","chr22",9917,50192339,50192839,-1.71620703399941,1.20032897821664e-08,-0.0641282565130261
"368359","chr4",12386,85557190,85557690,-1.71620703399941,1.20032897821664e-08,-0.0641282565130261
"419582","chr6",11654,42984162,42984662,-0.987060944292502,1.23517178032778e-08,-0.110220440881764
"396022","chr5",15701,124034977,124035477,-1.75899190049621,1.25825790577022e-08,-0.062124248496994
"151065","chr14",8587,71363207,71363707,-2.14684138832927,1.35396016483373e-08,-0.0480961923847695
"62515","chr10",6114,31759933,31760433,-0.974464907892863,1.59724648318127e-08,-0.110220440881764
"293052","chr20",135,543555,544055,-1.11547721741994,1.64947914231816e-08,-0.0981963927855712
"34135","chr1",34135,154220643,154221143,-0.9502469648029,2.71370757234616e-08,-0.110220440881764
"191514","chr16",16630,88045896,88046396,-0.9502469648029,2.71370757234616e-08,-0.110220440881764
"227875","chr19",1689,2710335,2710835,-1.25525705524207,2.77981833389377e-08,-0.0861723446893788
"23890","chr1",23890,84090800,84091300,-2.90689059560852,2.95616242084916e-08,-0.0260521042084168
"26485","chr1",26485,94792387,94792887,-2.90689059560852,2.95616242084916e-08,-0.0260521042084168
"92116","chr11",11977,65557584,65558084,-2.90689059560852,2.95616242084916e-08,-0.0260521042084168
"102232","chr11",22093,119356631,119357131,-2.22239242133645,2.95616242084916e-08,-0.0440881763527054
"226886","chr19",700,1262324,1262824,2.90689059560852,2.95616242084916e-08,0.0260521042084168
"312909","chr22",1347,21734897,21735397,-2.90689059560852,2.95616242084916e-08,-0.0260521042084168
"362806","chr4",6833,40183886,40184386,-2.90689059560852,2.95616242084916e-08,-0.0260521042084168
"413742","chr6",5814,26360461,26360961,2.90689059560852,2.95616242084916e-08,0.0260521042084168
"424835","chr6",16907,89411356,89411856,-2.90689059560852,2.95616242084916e-08,-0.0260521042084168
"449662","chr7",11227,66627850,66628350,-2.90689059560852,2.95616242084916e-08,-0.0260521042084168
"469154","chr8",4151,26467807,26468307,-2.90689059560852,2.95616242084916e-08,-0.0260521042084168
"507347","chr9",19810,135960523,135961023,-2.90689059560852,2.95616242084916e-08,-0.0260521042084168
"101313","chr11",21174,117189459,117189959,-1.30116953472056,3.28928127114084e-08,-0.0821643286573146
"504235","chr9",16698,128094281,128094781,-1.68449817427207,3.42861681440533e-08,-0.062124248496994
"186659","chr16",11775,67465718,67466218,-2.66296501272243,3.51950999172893e-08,-0.032064128256513
"371758","chr4",15785,112297049,112297549,-2.66296501272243,3.51950999172893e-08,-0.032064128256513
"378010","chr4",22037,168480892,168481392,-2.66296501272243,3.51950999172893e-08,-0.032064128256513
"227509","chr19",1323,2151407,2151907,-0.823122237915921,3.69489711697692e-08,-0.120240480961924
"113715","chr12",8529,49828176,49828676,-1.19793937761191,3.94908297551429e-08,-0.0881763527054108
"287069","chr2",41269,219177925,219178425,-1.06273575534796,4.02461611300487e-08,-0.0981963927855711
"345236","chr3",23421,133927420,133927920,-1.53051471669878,4.61903372246303e-08,-0.0681362725450902
"368471","chr4",12498,86359892,86360392,-1.53051471669878,4.61903372246303e-08,-0.0681362725450902
"182653","chr16",7769,30658030,30658530,-0.711278950502557,4.81845361903904e-08,-0.130260521042084
"222274","chr18",5973,50281368,50281868,-0.868755466721747,5.09835086664162e-08,-0.114228456913828
"362506","chr4",6533,39044289,39044789,-1.12398871727545,5.43001197157308e-08,-0.0921843687374749
"38251","chr1",38251,167090500,167091000,-2.4594316186373,5.67260499619292e-08,-0.0360721442885772
"465723","chr8",720,6425004,6425504,-2.4594316186373,5.67260499619292e-08,-0.0360721442885772
"695","chr1",695,1778697,1779197,-0.925999418556223,5.700139854071e-08,-0.108216432865731
"84245","chr11",4106,14891471,14891971,-1.20353339408513,5.700139854071e-08,-0.0861723446893788
"397838","chr5",17517,133935077,133935577,-1.55639334852439,5.700139854071e-08,-0.0661322645290581
"476039","chr8",11036,73168298,73168798,-1.58496250072116,7.11367396590578e-08,-0.064128256513026
"13727","chr1",13727,36464164,36464664,-1.10433665981474,7.65569168444762e-08,-0.092184368737475
"142979","chr14",501,21455947,21456447,-0.841302253980942,8.92816576654261e-08,-0.114228456913828
"449245","chr7",10810,64307214,64307714,-1.06558834162758,9.78020338045077e-08,-0.094188376753507
"273725","chr2",27925,143141296,143141796,-1.91753783980803,1.04451131216217e-07,-0.0501002004008016
"482654","chr8",17651,124474312,124474812,-0.874469117916141,1.06743399812121e-07,-0.110220440881764
"230914","chr19",4728,9834891,9835391,-0.802060622388091,1.3347804040976e-07,-0.11623246492986
"197813","chr17",5074,17752036,17752536,-0.923378718397088,1.52824916298568e-07,-0.104208416833667
"177226","chr16",2342,4416435,4416935,-0.8550516640889,1.6200767754565e-07,-0.110220440881764
"22942","chr1",22942,76074369,76074869,-1.29956028185891,1.67960634083015e-07,-0.0761523046092184
"426861","chr6",18933,107675310,107675810,-1.52724700286487,1.6902794759345e-07,-0.0641282565130261
"409161","chr6",1233,5260480,5260980,-1.08746284125034,1.71406775173885e-07,-0.0901803607214429
"74274","chr10",17873,102394183,102394683,-0.845671853608706,1.93920273749427e-07,-0.110220440881764
"329597","chr3",7782,42012470,42012970,-1.35908109330483,1.96168710914134e-07,-0.0721442885771543
"460442","chr7",22007,135557654,135558154,-1.16046467219325,2.07375258754974e-07,-0.0841683366733467
"10210","chr1",10210,27155459,27155959,-2.05062607306997,2.13958981145297e-07,-0.0440881763527054
"213720","chr17",20981,78337403,78337903,-2.05062607306997,2.13958981145297e-07,-0.0440881763527054
"453778","chr7",15343,97116224,97116724,-2.05062607306997,2.13958981145297e-07,-0.0440881763527054
"252591","chr2",6791,30146275,30146775,-0.736965594166206,2.16938260232124e-07,-0.120240480961924
"178681","chr16",3797,11742664,11743164,-0.753644335312837,2.31888350485461e-07,-0.118236472945892
"371381","chr4",15408,109433516,109434016,-1.06871275008401,2.33033205033836e-07,-0.0901803607214429
"57","chr1",57,923600,924100,-2.58496250072116,2.34459529623989e-07,-0.030060120240481
"204222","chr17",11483,43943935,43944435,-2.58496250072116,2.34459529623989e-07,-0.030060120240481
"241441","chr19",15255,46529243,46529743,-2.58496250072116,2.34459529623989e-07,-0.030060120240481
"241475","chr19",15289,46617557,46618057,-2.58496250072116,2.34459529623989e-07,-0.030060120240481
"311832","chr22",270,17781132,17781632,-2.58496250072116,2.34459529623989e-07,-0.030060120240481
"11020","chr1",11020,28736576,28737076,-0.852774046816822,2.39154670700192e-07,-0.108216432865731
"59384","chr10",2983,13874035,13874535,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"73758","chr10",17357,100999004,100999504,-1.37345839552744,2.49765493993553e-07,-0.0701402805611222
"116722","chr12",11536,57765828,57766328,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"152133","chr14",9655,75230021,75230521,-3.8073549220576,2.49765493993553e-07,-0.0260521042084168
"228182","chr19",1996,3285071,3285571,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"241323","chr19",15137,45995604,45996104,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"340093","chr3",18278,107910650,107911150,2.8073549220576,2.49765493993553e-07,0.0240480961923848
"341086","chr3",19271,113278278,113278778,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"355347","chr3",33532,196189443,196189943,2.8073549220576,2.49765493993553e-07,0.0240480961923848
"357208","chr4",1235,2801118,2801618,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"372416","chr4",16443,118850423,118850923,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"376715","chr4",20742,154491775,154492275,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"386831","chr5",6510,56142651,56143151,2.8073549220576,2.49765493993553e-07,0.0240480961923848
"437550","chr6",29622,166341576,166342076,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"456950","chr7",18515,112080464,112080964,-3.8073549220576,2.49765493993553e-07,-0.0260521042084168
"464017","chr7",25582,154928659,154929159,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"468660","chr8",3657,23504950,23505450,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"499379","chr9",11842,104860329,104860829,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"514122","chrX",5407,71112006,71112506,-2.8073549220576,2.49765493993553e-07,-0.0240480961923848
"517228","chrX",8513,129982809,129983309,-3.8073549220576,2.49765493993553e-07,-0.0260521042084168
"28818","chr1",28818,109483679,109484179,-0.932885804141463,2.49831500540442e-07,-0.100200400801603
"123689","chr12",18503,107685512,107686012,-1.1650592462705,2.59192172088138e-07,-0.0821643286573146
"179682","chr16",4798,17301421,17301921,-1.19555080911781,2.59192172088138e-07,-0.0801603206412826
"219351","chr18",3050,24426398,24426898,-1.61890983264449,2.59192172088138e-07,-0.0581162324649299
"45732","chr1",45732,203338341,203338841,-2.39231742277876,2.63824092266356e-07,-0.0340681362725451
"83409","chr11",3270,10857877,10858377,-0.818759685329854,2.63824092266356e-07,-0.110220440881763
"101476","chr11",21337,117843895,117844395,-2.39231742277876,2.63824092266356e-07,-0.0340681362725451
"156983","chr14",14505,100305798,100306298,-2.39231742277876,2.63824092266356e-07,-0.0340681362725451
"323083","chr3",1268,9731085,9731585,-0.818759685329854,2.63824092266356e-07,-0.110220440881763
"497752","chr9",10215,94726422,94726922,-1,2.63824092266356e-07,-0.094188376753507
"499349","chr9",11812,104747418,104747918,-1,2.63824092266356e-07,-0.094188376753507
"138225","chr13",8217,77697313,77697813,-0.970853654340484,2.83729275304143e-07,-0.0961923847695391
"497371","chr9",9834,93095718,93096218,-0.712197689017264,2.9183442343623e-07,-0.120240480961924
"89743","chr11",9604,60396743,60397243,-1.87446911791614,3.07441863781352e-07,-0.0480961923847695
"301598","chr20",8681,46410919,46411419,-1.8073549220576,3.40383114458818e-07,-0.0501002004008016
"213474","chr17",20735,77887810,77888310,-1.75002174699165,3.42298324759119e-07,-0.0521042084168337
"238395","chr19",12209,38402762,38403262,-0.824913293441909,3.50040384519267e-07,-0.108216432865731
"105045","chr11",24906,134068740,134069240,-1.23703919730085,3.55972783764733e-07,-0.0761523046092184
"166167","chr15",6853,63479584,63480084,-1.20163386116965,3.70590258891583e-07,-0.0781563126252505
"225344","chr18",9043,76492725,76493225,-1.20163386116965,3.70590258891583e-07,-0.0781563126252505
"251537","chr2",5737,27051326,27051826,-1.14135584924554,3.70590258891583e-07,-0.0821643286573146
"490184","chr9",2647,20683915,20684415,-0.93161302501975,3.70590258891583e-07,-0.0981963927855712
"91251","chr11",11112,64230217,64230717,-1.16992500144231,3.71853812365764e-07,-0.0801603206412826
"295996","chr20",3079,18507274,18507774,-0.816037165157405,4.09488815588612e-07,-0.108216432865731
"56377","chr1",56377,248873545,248874045,-1.40599235967584,4.13680581792528e-07,-0.0661322645290581
"372001","chr4",16028,113761688,113762188,-1.40599235967584,4.13680581792528e-07,-0.0661322645290581
"304874","chr20",11957,62143198,62143698,-0.970252656605948,4.35513069462498e-07,-0.094188376753507
"416214","chr6",8286,33322860,33323360,-0.919080004616433,4.66361348571745e-07,-0.0981963927855712
"82665","chr11",2526,8201926,8202426,-1.52356195605701,4.68678050815923e-07,-0.0601202404809619
"190924","chr16",16040,85936013,85936513,-1.52356195605701,4.68678050815923e-07,-0.0601202404809619
"192878","chr17",139,714625,715125,-1.52356195605701,4.68678050815923e-07,-0.0601202404809619
"213508","chr17",20769,77957744,77958244,-1.24511249783653,5.14302596187413e-07,-0.0741482965931864
"182911","chr16",8027,31117313,31117813,-0.984569959430394,5.20651060467371e-07,-0.0921843687374749
"315486","chr22",3924,31290551,31291051,-1.03394733192334,5.38755158521018e-07,-0.0881763527054108
"515437","chrX",6722,101931806,101932306,-1.34792330342031,5.42223259235549e-07,-0.0681362725450902
"479229","chr8",14226,100149778,100150278,-1.55254102302878,5.92739898437292e-07,-0.0581162324649299
"87936","chr11",7797,45929959,45930459,-1,6.20427191780193e-07,-0.0901803607214429
"8913","chr1",8913,24733226,24733726,-2,6.8382485175741e-07,-0.0420841683366733
"241536","chr19",15350,46717547,46718047,-2,6.8382485175741e-07,-0.0420841683366733
"468798","chr8",3795,24330415,24330915,-2,6.8382485175741e-07,-0.0420841683366733
"217535","chr18",1234,9136463,9136963,-0.726981505593584,6.91561546580466e-07,-0.114228456913828
"311413","chr21",5425,46323731,46324231,-0.828728572850171,7.12519848044035e-07,-0.104208416833667
"419549","chr6",11621,42929199,42929699,-0.895030440398457,7.12519848044035e-07,-0.0981963927855711
"415664","chr6",7736,32177990,32178490,-0.782408564927373,7.71423677367551e-07,-0.108216432865731
"57681","chr10",1280,6144586,6145086,-1.12199052437861,8.00458974610073e-07,-0.0801603206412826
"356532","chr4",559,1346846,1347346,-0.736965594166206,8.44128690965787e-07,-0.112224448897796
"180857","chr16",5973,23881556,23882056,-2.20163386116965,8.72822438003456e-07,-0.0360721442885772
"241015","chr19",14829,45467469,45467969,-0.928916901938517,9.05851518568169e-07,-0.094188376753507
"12315","chr1",12315,32250363,32250863,-1.90689059560852,9.12444137510657e-07,-0.0440881763527054
"449205","chr7",10770,63926113,63926613,-1.30932805810773,9.51914391814732e-07,-0.0681362725450902
"194211","chr17",1472,3911161,3911661,-1,9.53774183752253e-07,-0.0881763527054108
"485868","chr8",20865,141128179,141128679,-0.730160416261092,9.53774183752253e-07,-0.112224448897796
"32075","chr1",32075,147084488,147084988,-1.66296501272243,9.71666251836642e-07,-0.0521042084168337
"301500","chr20",8583,46118998,46119498,-1.66296501272243,9.71666251836642e-07,-0.0521042084168337
"314280","chr22",2718,26428933,26429433,-0.968973104379375,1.04106887808515e-06,-0.0901803607214429
"339988","chr3",18173,107431303,107431803,-1.83007499855769,1.04106887808515e-06,-0.0460921843687375
"430613","chr6",22685,131683455,131683955,-1.83007499855769,1.04106887808515e-06,-0.0460921843687375
"208123","chr17",15384,58692341,58692841,-1.37851162325373,1.04333379467208e-06,-0.0641282565130261
"171409","chr15",12095,84570565,84571065,-1.71049338280501,1.04577663812093e-06,-0.0501002004008016
"316310","chr22",4748,36017451,36017951,-1.71049338280501,1.04577663812093e-06,-0.0501002004008016
"427136","chr6",19208,108565054,108565554,-1.26303440583379,1.06821225194115e-06,-0.0701402805611222
"64551","chr10",8150,48683830,48684330,-1.76553474636298,1.07253280468322e-06,-0.0480961923847695
"3704","chr1",3704,9910191,9910691,-0.642237306072905,1.08208462223328e-06,-0.120240480961924
"148357","chr14",5879,60091673,60092173,-0.825970600224951,1.08208462223328e-06,-0.102204408817635
"228657","chr19",2471,4108939,4109439,-1.09953567355091,1.0973018077437e-06,-0.0801603206412826
"5734","chr1",5734,16032816,16033316,-2.50250034052918,1.20565808470496e-06,-0.0280561122244489
"35123","chr1",35123,156106232,156106732,-1.03562390973072,1.20565808470496e-06,-0.0841683366733467
"85078","chr11",4939,20386679,20387179,-2.50250034052918,1.20565808470496e-06,-0.0280561122244489
"88423","chr11",8284,47328425,47328925,2.50250034052918,1.20565808470496e-06,0.0280561122244489
"176488","chr16",1604,2919641,2920141,-2.50250034052918,1.20565808470496e-06,-0.0280561122244489
"202396","chr17",9657,39605634,39606134,-2.50250034052918,1.20565808470496e-06,-0.0280561122244489
"233472","chr19",7286,15551183,15551683,-2.50250034052918,1.20565808470496e-06,-0.0280561122244489
"238581","chr19",12395,38831662,38832162,-0.983880334636723,1.20565808470496e-06,-0.0881763527054108
"275938","chr2",30138,156538227,156538727,-2.50250034052918,1.20565808470496e-06,-0.0280561122244489
"331137","chr3",9322,46883123,46883623,-2.50250034052918,1.20565808470496e-06,-0.0280561122244489
"431978","chr6",24050,137873251,137873751,-2.50250034052918,1.20565808470496e-06,-0.0280561122244489
"314660","chr22",3098,28741638,28742138,-0.881355503501381,1.29389440560089e-06,-0.0961923847695391
"186483","chr16",11599,67160164,67160664,-2.32192809488736,1.29890912194358e-06,-0.032064128256513
"197457","chr17",4718,16989807,16990307,2.32192809488736,1.29890912194358e-06,0.032064128256513
"209619","chr17",16880,64475531,64476031,-2.32192809488736,1.29890912194358e-06,-0.032064128256513
"454775","chr7",16340,100586236,100586736,-0.648288436089985,1.3590485037417e-06,-0.118236472945892
"424474","chr6",16546,87702034,87702534,-0.850622375961773,1.49259574146866e-06,-0.0981963927855711
"96007","chr11",15868,76444471,76444971,-1.07800251200127,1.49443148711804e-06,-0.0801603206412826
"415985","chr6",8057,32953059,32953559,-1.07800251200127,1.49443148711804e-06,-0.0801603206412826
"502578","chr9",15041,122940673,122941173,-0.968291140272662,1.52002581180443e-06,-0.0881763527054108
"310930","chr21",4942,44920696,44921196,-1.51937415909358,1.54446581279994e-06,-0.0561122244488978
"503939","chr9",16402,127716019,127716519,-1.51937415909358,1.54446581279994e-06,-0.0561122244488978
"28531","chr1",28531,108746347,108746847,-0.869939459435627,1.55186803191376e-06,-0.0961923847695391
"398914","chr5",18593,138464823,138465323,-0.869939459435627,1.55186803191376e-06,-0.0961923847695391
"15889","chr1",15889,42456230,42456730,-0.891065628446836,1.56552214515218e-06,-0.094188376753507
"108624","chr12",3438,12737035,12737535,-2.05889368905357,1.56552214515218e-06,-0.0380761523046092
"116477","chr12",11291,57225424,57225924,-2.05889368905357,1.56552214515218e-06,-0.0380761523046092
"167148","chr15",7834,66294242,66294742,-2.05889368905357,1.56552214515218e-06,-0.0380761523046092
"220321","chr18",4020,35158929,35159429,-2.05889368905357,1.56552214515218e-06,-0.0380761523046092
"232837","chr19",6651,14074985,14075485,-2.05889368905357,1.56552214515218e-06,-0.0380761523046092
"252650","chr2",6850,30231210,30231710,-0.939879007562429,1.56552214515218e-06,-0.0901803607214429
"295657","chr20",2740,16158612,16159112,-2.05889368905357,1.56552214515218e-06,-0.0380761523046092
"513720","chrX",5005,65698398,65698898,-2.05889368905357,1.56552214515218e-06,-0.0380761523046092
"169143","chr15",9829,74385058,74385558,-1.23029761942179,1.56940687953401e-06,-0.0701402805611222
"54817","chr1",54817,241552038,241552538,-1.33560303178444,1.69585916406961e-06,-0.064128256513026
"56458","chr10",57,317198,317698,-1.33560303178444,1.69585916406961e-06,-0.064128256513026
"92375","chr11",12236,65900288,65900788,-1.33560303178444,1.69585916406961e-06,-0.064128256513026
"356684","chr4",711,1723245,1723745,-1.33560303178444,1.69585916406961e-06,-0.064128256513026
"2361","chr1",2361,6579726,6580226,-0.953205788521059,1.69690811525302e-06,-0.0881763527054108
"14699","chr1",14699,39692009,39692509,-3.70043971814109,1.69690811525302e-06,-0.0240480961923848
"30731","chr1",30731,116006558,116007058,3.70043971814109,1.69690811525302e-06,0.0240480961923848
"39340","chr1",39340,171485145,171485645,-0.925999418556223,1.69690811525302e-06,-0.0901803607214429
"53655","chr1",53655,234955245,234955745,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"58558","chr10",2157,11149443,11149943,-3.70043971814109,1.69690811525302e-06,-0.0240480961923848
"65679","chr10",9278,60282831,60283331,-3.70043971814109,1.69690811525302e-06,-0.0240480961923848
"66410","chr10",10009,63630883,63631383,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"82359","chr11",2220,6473088,6473588,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"91548","chr11",11409,64759811,64760311,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"106674","chr12",1488,6284928,6285428,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"137146","chr13",7138,67230942,67231442,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"139949","chr13",9941,98512225,98512725,3.70043971814109,1.69690811525302e-06,0.0240480961923848
"143399","chr14",921,22810826,22811326,2.70043971814109,1.69690811525302e-06,0.0220440881763527
"146422","chr14",3944,49863849,49864349,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"149538","chr14",7060,65156669,65157169,3.70043971814109,1.69690811525302e-06,0.0240480961923848
"151635","chr14",9157,73757898,73758398,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"174106","chr15",14792,98647470,98647970,-1.55019708256048,1.69690811525302e-06,-0.0541082164328657
"176098","chr16",1214,2155250,2155750,-0.706803623655954,1.69690811525302e-06,-0.110220440881764
"189499","chr16",14615,81366261,81366761,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"193155","chr17",416,1393201,1393701,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"202393","chr17",9654,39603573,39604073,-3.70043971814109,1.69690811525302e-06,-0.0240480961923848
"205755","chr17",13016,48373871,48374371,-3.70043971814109,1.69690811525302e-06,-0.0240480961923848
"215377","chr17",22638,81652829,81653329,-2.70043971814109,1.69690811525302e-06,-0.0220440881763527
"216645","chr18",344,2770408,2770908,2.70043971814109,1.69690811525302e-06,0.0220440881763527
"229659","chr19",3473,6460055,6460555,-0.953205788521059,1.69690811525302e-06,-0.0881763527054108
"235242","chr19",9056,18915603,18916103,3.70043971814109,1.69690811525302e-06,0.0240480961923848
"237720","chr19",11534,35741640,35742140,-3.70043971814109,1.69690811525302e-06,-0.0240480961923848
"239402","chr19",13216,40803833,40804333,-1.41503749927884,1.69690811525302e-06,-0.0601202404809619
